
cshdp79	3.41 
cshdp96	3.11 
cshdp14	5.8 
cshdp32	3.32 
cshdp63	4.16 
cshdp33	4.14 
cshdp15	5.86 
cshdp28	5.59 
cshdp59	4.46 
cshdp75	5.87 
cshdp89	3.61 
cshdp36	5.72 
cshdp100	3.7 
cshdp7	3.58 
cshdp65	3.38 
cshdp40	5.65 
cshdp95	4.2 
cshdp85	4.92 
cshdp70	1.65 
cshdp72	4.71 
cshdp31	5.65 
cshdp80	4.22 
cshdp82	4.16 
cshdp1	4.2 
cshdp57	5.89 
cshdp86	4.91 
cshdp12	5.42 
cshdp42	4.17 
cshdp29	4.06 
cshdp26	3.77 
cshdp87	4.08 
cshdp64	3.6 
cshdp25	4.84 
cshdp47	5.76 
cshdp60	3.55 
cshdp62	3.56 
cshdp71	5.91 
cshdp97	3.6 
cshdp45	4.15 
cshdp13	5.98 
cshdp18	3.14 
cshdp19	3.63 
cshdp92	3.72 
cshdp67	4.2 
cshdp3	3.91 
cshdp4	3.59 
cshdp69	4.12 
cshdp53	4.1 
cshdp90	3.63 
cshdp55	5.07 
cshdp2	4.13 
cshdp54	5.96 
cshdp68	5.87 
cshdp88	3.64 
cshdp73	3.96 
cshdp11	5.73 
cshdp44	3.6 
cshdp99	4.22 
cshdp93	4.14 
cshdp49	4.24 
cshdp6	3.58 
cshdp83	4.14 
cshdp74	6.01 
cshdp94	5.91 
cshdp21	5.79 
cshdp35	3.57 
cshdp46	4.88 
cshdp48	4.14 
cshdp38	5.49 
cshdp24	3.54 
cshdp10	5.89 
cshdp5	5.92 
cshdp8	5.98 
cshdp81	5.8 
cshdp22	5.82 
cshdp41	4.04 
cshdp98	5.88 
cshdp17	5.67 
cshdp77	5.83 
cshdp76	3.51 
cshdp52	3.74 
cshdp16	3.2 
cshdp56	5.97 
cshdp58	4.09 
cshdp51	5.6 
cshdp20	4.07 
cshdp39	5.64 
cshdp50	5.48 
cshdp23	5.65 
cshdp91	4.17 
cshdp84	5.97 
cshdp9	4.9 
cshdp37	5.7 
cshdp43	3.94 
cshdp34	3.55 
cshdp27	3.53 
cshdp66	4.89 
cshdp61	4.23 
cshdp30	3.99 
cshdp78	5.77 
